Date,Z1A1_pumped,Z1A2_pumped,Z1A3_pumped,Z2A1_pumped,Z2A2_pumped,Z2A3_pumped,Z3A1_pumped,Z3A2_pumped,Z3A3_pumped,Z4A1_pumped,Z4A2_pumped,Z4A3_pumped
3/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.123292145
4/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124527945
5/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124527945
6/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124527945
7/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.122790484
8/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120172056
9/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120172056
10/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120172056
11/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120172056
12/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.127513442
13/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.1256108
14/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124509592
15/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124509592
16/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.12457077
17/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.12864524
18/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.131526734
19/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.131526734
20/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.132144634
21/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.135484965
22/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.122992372
23/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.122992372
24/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.12285778
25/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.12285778
26/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.122796601
27/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.118722132
28/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.115840637
29/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.119872282
30/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120147584
31/03/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.122802719
1/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.12636941
2/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.128320995
